Date, Open, High, Low, Close, Volume
31-May-18,333000.00,337500.00,330500.00,332500.00,239255
30-May-18,330000.00,335500.00,328000.00,330000.00,83249
29-May-18,333000.00,338500.00,330500.00,331500.00,67865
28-May-18,335000.00,336500.00,328500.00,329500.00,76571
25-May-18,334000.00,336000.00,329500.00,335000.00,85340
24-May-18,328000.00,337000.00,328000.00,336000.00,110265
23-May-18,324000.00,331500.00,321500.00,328500.00,102193
21-May-18,330500.00,333500.00,326000.00,329500.00,89841
18-May-18,322500.00,330000.00,322500.00,328500.00,108336
17-May-18,328000.00,328000.00,320500.00,322000.00,96469
16-May-18,324000.00,329500.00,320500.00,328500.00,111369
15-May-18,328500.00,332000.00,323000.00,323500.00,159273
14-May-18,345000.00,347000.00,326000.00,328500.00,262824
11-May-18,343000.00,348500.00,340000.00,342000.00,114434
10-May-18,352500.00,356000.00,341500.00,342500.00,250944
9-May-18,347500.00,354500.00,342500.00,350500.00,199040
8-May-18,351000.00,352500.00,342000.00,347500.00,210077
4-May-18,347000.00,351000.00,338500.00,350000.00,198946
3-May-18,351500.00,351500.00,338500.00,339500.00,147535
30-Apr-18,337000.00,349500.00,335500.00,349000.00,202247
27-Apr-18,332500.00,337500.00,332000.00,334500.00,82888
26-Apr-18,334500.00,337500.00,330500.00,333500.00,106426
25-Apr-18,340000.00,340000.00,331500.00,334500.00,115206
24-Apr-18,336500.00,343000.00,333500.00,338500.00,175483
23-Apr-18,335500.00,336000.00,331000.00,333000.00,84362
20-Apr-18,343000.00,345500.00,336000.00,338000.00,75058
19-Apr-18,345000.00,347000.00,338000.00,341000.00,188381
18-Apr-18,338000.00,346500.00,336000.00,345500.00,222760
17-Apr-18,336000.00,341500.00,335500.00,338500.00,101645
16-Apr-18,341000.00,343500.00,336000.00,338000.00,226682
13-Apr-18,325000.00,335000.00,320000.00,335000.00,154393
12-Apr-18,333500.00,335000.00,323500.00,323500.00,163893
11-Apr-18,339000.00,339500.00,333500.00,335000.00,105827
10-Apr-18,337500.00,343000.00,333500.00,342000.00,163989
9-Apr-18,330000.00,339500.00,330000.00,337500.00,135275
6-Apr-18,327000.00,336500.00,325500.00,330000.00,112222
5-Apr-18,338000.00,338500.00,326500.00,333000.00,152531
4-Apr-18,345000.00,347500.00,334000.00,337500.00,226334
3-Apr-18,333000.00,346500.00,332500.00,345000.00,366563
2-Apr-18,327500.00,343500.00,327000.00,333000.00,487586
30-Mar-18,307500.00,318500.00,307500.00,317000.00,223388
29-Mar-18,308000.00,308000.00,304500.00,307000.00,141287
28-Mar-18,303500.00,308000.00,300500.00,304500.00,166677
27-Mar-18,299500.00,305500.00,297500.00,304500.00,195617
26-Mar-18,286000.00,297000.00,284000.00,296500.00,178341
23-Mar-18,292000.00,294500.00,288000.00,288500.00,163590
22-Mar-18,299500.00,304000.00,295000.00,297000.00,144946
21-Mar-18,297500.00,303000.00,297000.00,299500.00,79389
20-Mar-18,287000.00,302000.00,287000.00,300500.00,232640
